Canton,Country,People,CantonLanguage,CountryLanguage,Colour
Glarus,Bulgaria,3,German,Bulgarian,0406ff
Glarus,Canada,1,German,English,68ED7C
Glarus,Colombia,1,German,Spanish,68ffcb
Glarus,Croatia,5,German,Albanian,ff0000
Glarus,Czech Republic,11,German,Czech,ff0880
Glarus,Dominican Republic,4,German,Spanish,68ffcb
Glarus,Eritrea,9,German,Arabic,fffd06
Glarus,Finland,1,German,Finnish,7677ff
Glarus,France,5,German,French,f26aff
Glarus,Germany,102,German,German,68ffcb
Glarus,Greece,5,German,Greek,c45dff
Glarus,Hungary,14,German,Hungarian,fbffa1
Glarus,Italy,78,German,Italian,9baaff
Glarus,Kosovo,14,German,Albanian,ff0000
Glarus,Kyrgyzstan,1,German,Rusian,68ED7C
Glarus,Latvia,1,German,Latvian,ff96c8
Glarus,Lebanon,1,German,Arabic,fffd06
Glarus,Macedonia,6,German,Macedonian,fffd06
Glarus,Morocco,1,German,Arabic,fffd06
Glarus,Netherlands,5,German,Dutch,fffd66
Glarus,Norway,3,German,Norwegian,9900ff
Glarus,Poland,13,German,Polish,25ff04
Glarus,Portugal,102,German,Portuguese,0406ff
Glarus,Romania,7,German,Romanian,fffd66
Glarus,Russia,2,German,Russian,68ED7C
Glarus,Serbia,11,German,Serbian,6cd8ed
Glarus,Slovakia,23,German,Slovak,7677ff
Glarus,Slovenia,11,German,Slovene,f26aff
Glarus,Somalia,5,German,Somali,ffad61
Glarus,South Africa,1,German,Zulu,ff0000
Glarus,South Korea,1,German,Korean,a1ffd1
Glarus,Spain,20,German,Spanish,68ffcb
Glarus,Switzerland,88,German,German,68ffcb
Glarus,Syria,11,German,Arabic,fffd06
Glarus,Thailand,1,German,Thai,c45dff
Glarus,Tunisia,2,German,Arabic,fffd06
Glarus,Turkey,6,German,Turkish,fffd06
Glarus,Ukraine,1,German,Ukrainian,ffc668
Glarus,United States,1,German,English,68ED7C
Glarus,Zimbabwe,2,German,English,68ED7C
Graubünden / Grigioni / Grischun,Afghanistan,13,German,Pashto,ff0880
Graubünden / Grigioni / Grischun,Albania,1,German,Albanian,ff0000
Graubünden / Grigioni / Grischun,Argentina,3,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Australia,3,German,English,68ED7C
Graubünden / Grigioni / Grischun,Austria,139,German,German,68ffcb
Graubünden / Grigioni / Grischun,Belgium,4,German,Dutch,fffd66
Graubünden / Grigioni / Grischun,Bolivia,1,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Bosnia and Herzegovina,17,German,Croatian,9900ff
Graubünden / Grigioni / Grischun,Brazil,18,German,Portuguese,0406ff
Graubünden / Grigioni / Grischun,Bulgaria,33,German,Bulgarian,0406ff
Graubünden / Grigioni / Grischun,Canada,3,German,English,68ED7C
Graubünden / Grigioni / Grischun,Chile,2,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Colombia,2,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Congo,3,German,French,f26aff
Graubünden / Grigioni / Grischun,Costa Rica,1,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Croatia,1,German,Albanian,ff0000
Graubünden / Grigioni / Grischun,Cuba,3,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Czech Republic,49,German,Czech,ff0880
Graubünden / Grigioni / Grischun,Denmark,4,German,Danish,ff4743
Graubünden / Grigioni / Grischun,Dominican Republic,11,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Ecuador,1,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Egypt,3,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Eritrea,34,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Estonia,4,German,Estonian,6cd8ed
Graubünden / Grigioni / Grischun,Finland,16,German,Finnish,7677ff
Graubünden / Grigioni / Grischun,France,24,German,French,f26aff
Graubünden / Grigioni / Grischun,Gambia,1,German,English,68ED7C
Graubünden / Grigioni / Grischun,Georgia,1,German,Georgian,ffad61
Graubünden / Grigioni / Grischun,Germany,892,German,German,68ffcb
Graubünden / Grigioni / Grischun,Greece,14,German,Greek,c45dff
Graubünden / Grigioni / Grischun,Guinea,1,German,French,f26aff
Graubünden / Grigioni / Grischun,Guinea-Bissau,1,German,Portuguese,0406ff
Graubünden / Grigioni / Grischun,Honduras,1,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Hungary,137,German,Hungarian,fbffa1
Graubünden / Grigioni / Grischun,Iceland,2,German,Icelandic,90ff9b
Graubünden / Grigioni / Grischun,India,4,German,Hindi,ff908e
Graubünden / Grigioni / Grischun,Indonesia,1,German,Indonesian,99eaff
Graubünden / Grigioni / Grischun,Iran,2,German,Persian,ff4743
Graubünden / Grigioni / Grischun,Iraq,9,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Ireland,4,German,English,68ED7C
Graubünden / Grigioni / Grischun,Israel,1,German,Hebrew,ff339f
Graubünden / Grigioni / Grischun,Italy,679,German,Italian,9baaff
Graubünden / Grigioni / Grischun,Japan,13,German,Japanese,ff9df5
Graubünden / Grigioni / Grischun,Kenya,1,German,English,68ED7C
Graubünden / Grigioni / Grischun,Kosovo,24,German,Albanian,ff0000
Graubünden / Grigioni / Grischun,Kyrgyzstan,3,German,Rusian,68ED7C
Graubünden / Grigioni / Grischun,Latvia,4,German,Latvian,ff96c8
Graubünden / Grigioni / Grischun,Lebanon,2,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Libya,1,German,Arabic,fffd06
Graubünden / Grigioni / Grischun,Liechtenstein,4,German,German,68ffcb
Graubünden / Grigioni / Grischun,Lithuania,8,German,Lithuanian,ff0000
Graubünden / Grigioni / Grischun,Luxembourg,1,German,French,f26aff
Graubünden / Grigioni / Grischun,Macedonia,12,German,Macedonian,fffd06
Graubünden / Grigioni / Grischun,Malaysia,3,German,Malaysian,08f9ff
Graubünden / Grigioni / Grischun,Mali,1,German,French,f26aff
Graubünden / Grigioni / Grischun,Mexico,4,German,Spanish,68ffcb
Graubünden / Grigioni / Grischun,Moldova,1,German,Romanian,fffd66
Graubünden / Grigioni / Grischun,Myanmar,1,German,Burmese,ff8424
Graubünden / Grigioni / Grischun,Netherlands,41,German,Dutch,fffd66
Graubünden / Grigioni / Grischun,New Zealand,1,German,English,68ED7C
Graubünden / Grigioni / Grischun,Poland,70,German,Polish,25ff04
Graubünden / Grigioni / Grischun,Portugal,841,German,Portuguese,0406ff
Graubünden / Grigioni / Grischun,Romania,81,German,Romanian,fffd66
Graubünden / Grigioni / Grischun,Russia,22,German,Russian,68ED7C
Graubünden / Grigioni / Grischun,Senegal,1,German,French,f26aff
Graubünden / Grigioni / Grischun,Serbia,16,German,Serbian,6cd8ed
Graubünden / Grigioni / Grischun,Seychellen,1,German,English,68ED7C
